房屋名称,房屋大小,房屋具体位置,房屋每平米价格
世茂振兴璀璨熙湖,—106~142平米,[三至四环]中原陇海西路与汇智路交叉口往南800米,15500元/每平方米
信达时代国著,—120~142平米,[二至三环]金水东三环鸿宝路交汇处东南角,19000元/每平方米
中铁·郑州中央商务区,—41~130平米,[二至三环]二七京广路陇海路交汇处向东100米路南,价格待定
金地·峯范,—137平米,[一至二环]二七航海路与淮南街交叉口西南角,17500元/每平方米
星联城,—89~143平米,二七西四环与同兴街交叉口东北方向,11000元/每平方米
万科·新田 湖与城,—78~144平米,[四至五环]荥阳五龙路与博学路交会处·未来生活体验场,7200元/每平方米
东亚 · 京尊,—43~129平米,[二至三环]管城东苑:通站路东、紫东路西;西苑:秋实路东、赣江路南,7074元/每平方米
泉舜上城,—104~148平米,[一环以内]金水黄河路与南阳路交汇处往东100米,16500元/每平方米
保利文化广场,—98~182平米,[三至四环]高新科学大道银屏路交会处,15500元/每平方米
保利大都汇,—75~118平米,[三至四环]金水花园路与宏康路交会处向南150米(地铁2号线刘庄站a口南100米),19500元/每平方米
万科大都会,—72平米,[四至五环]二七大学南路南四环西南部,10800元/每平方米
碧桂园西湖,—89~144平米,[三至四环]中原农业路西三环,10000元/每平方米
美盛教育港湾,—112~140平米,[三至四环]金水文化路与国基路交汇处,19000元/每平方米
保亿·豫景晨园,—94~130平米,[四至五环]高新创新大道与绿梅街交叉口(向西100米),11800元/每平方米
招商美景美境,—145~192平米,[三至四环]金水国基路渠东路交会处东北角,17500元/每平方米
电建金桥·华曦府,—90~139平米,郑东新区龙泽西路与龙源西四街交汇处,价格待定
华润置地润园,—89~138平米,[二至三环]中原金水西路与秦岭路交汇东南角,15000元/每平方米
华发峰景湾,—109~143平米,经开滨河国际新城经开十七大街与经南十三路交叉口东南角,15500元/每平方米
融创·运河源,—89~137平米,惠济英才街金河路南200米,18000元/每平方米
碧桂园云境,—75~155平米,[三至四环]金水花园路国基路东北角200米,16500元/每平方米
大溪地,—79~700平米,[四至五环]荥阳中原西路与商隐路交汇处,7500元/每平方米
融创城,—98~143平米,[三至四环]管城中州大道紫辰路交会处南500米,13500元/每平方米
金茂越秀未来府,—89~168平米,[二至三环]经开第五大街与经南六路交汇处,20000元/每平方米
融信朗悦·时光之城,—80~139平米,高新科学大道与金柏路交会处西南角,10800元/每平方米
保利海德公园,—99~145平米,[三至四环]金水中州大道与贾鲁河交会处西南角,19500元/每平方米
华瑞紫韵城,—101~143平米,[三至四环]中原建设西路与长椿路交叉口南北两侧,13600元/每平方米
保利璞岸,—160~260平米,[四至五环]郑东新区龙沄路龙源东路交汇处,42900元/每平方米
保利心语(住宅),—129平米,[二至三环]中原豫园路与天山路交汇处西北角(保利心语二期晴苑北),13500元/每平方米
正商生态城,—96~143平米,[四至五环]管城郑新快速路与南水北调河交会处路东,9500元/每平方米
汇泉博澳·东悦城,—78~126平米,郑东新区商都大道与前程路交会处,12000元/每平方米
正商兰庭华府,—102~190平米,[五环以外]新郑祥云路与求实路交会处向南200米路西,8000元/每平方米
忆江南度假区,—87~425平米,[五环以外]荥阳江山路与沿黄快速路交汇处西4000米,7900元/每平方米
兴港和昌云著,—86~175平米,[五环以外]航空港区雍州路与护航路交叉口,8200元/每平方米
康桥那云溪,—89~130平米,[四至五环]新郑紫荆山南路与阳光大道交会处东200米,价格待定
郑州恒大城,—116~140平米,[三至四环]高新西三环北延与三全路交汇处西约500米,价格待定
朗悦公园道1號,—44~227平米,[三至四环]高新科学大道雪松路交会处,15500元/每平方米
恒大金碧天下半城湖,—82~179平米,[五环以外]长江大道与太行大道交汇处西南角,价格待定
郑东恒大文化旅游城,—48~78平米,[五环以外]郑开大道二十二大街路北,6500元/每平方米
宝能·郑州中心,—37~232平米,[三至四环]郑东新区郑东新区高铁东站东广场(商鼎路博学路交汇处向东200m路北),价格待定
万科翠湾中城二期,—97~128平米,[三至四环]惠济江山路国基路交会处向北约700米路东,16800元/每平方米
绿都·澜湾新苑,—83~131平米,管城紫荆山南路·宇通路·地铁2号线站马屯站b口南侧,11000元/每平方米
万科·古翠隐秀,—175~192平米,[一至二环]金水经二路红专路交叉口北约100米路东,28000元/每平方米
瀚宇天悦城,—95~168平米,[二至三环]金水文化路与三全路交会处,19500元/每平方米
金地西湖春晓,—94~122平米,[四至五环]中原中原路与杭州路交会处西南,8000元/每平方米
中建·元熙府,—109~168平米,经开经开第十五大街与经南十三路交会处西南角,12800元/每平方米
大正·水晶森林,—89~132平米,高新科学大道和须水河东路交叉口向南500米,13000元/每平方米
万科·未来时光,—131~143平米,[三至四环]金水北龙湖北东三环贾鲁河畔,18000元/每平方米
碧桂园凤凰城,—89~142平米,中原建设路与凯旋路交叉口向西约600米路北,12000元/每平方米
金沙湖高尔夫观邸,—70~398平米,[三至四环]经开南三环与第五大街下桥口南500米,16000元/每平方米
北龙湖·瑞府,—129~216平米,[三至四环]郑东新区龙源路与龙泽西路交叉口路西,31000元/每平方米
富田城·九鼎公馆,—76~142平米,[三至四环]管城南三环金岱路(郑尉路)交会处,12000元/每平方米
泰宏建业国际城,—37~158平米,[三至四环]二七大学路与南三环交汇处向南800米,12000元/每平方米
未来·天奕,—218~527平米,[二至三环]金水东风路东明路交汇处西南角,33000元/每平方米
万科·山河道二期,—150~183平米,[三至四环]中原华山路与颍河路交会处向西500米,18000元/每平方米
谦祥·雲栖,—97~143平米,[三至四环]高新科学大道与郁香路,16500元/每平方米
谦祥·万华城,—69~141平米,[三至四环]高新科学大道西三环西800米(解放军信息工程大学东),12500元/每平方米
万科·星图,—89~120平米,新郑郑新快速路与双湖大道交汇处东800米,8000元/每平方米
碧桂园·云湖天境,—175~245平米,高新西三环农业路与弯月路交汇处雕塑公园北侧,16300元/每平方米
佳源·名门橙邦,—71~136平米,[二至三环]二七大学路与长江路交会处,13500元/每平方米
金桥西棠,—95~179平米,[三至四环]高新科学大道长椿路,17500元/每平方米
保利文化广场二期,—37~44平米,[三至四环]高新科学大道雪松路交会处,8000元/每平方米
阳光城,—101~152平米,[二至三环]管城中州大道航海路口南300米,13500元/每平方米
普罗理想国,—114~354平米,[请选择]中牟郑开大道与雁鸣大道交汇处(彩虹隧道西侧),12500元/每平方米
正弘中央公园,—89~143平米,[五环以外]航空港区雍州路与太湖路交叉口,9600元/每平方米
鸿园,—160~216平米,[三至四环]金水鸿宝路与鸿苑路交叉口向北800米·鸿园,26000元/每平方米
郑州雅颂居,—204~207平米,[一至二环]金水花园路人民会堂北,33000元/每平方米
谦祥·时光序,—69~116平米,[二至三环]惠济兴隆铺路与粮仓路交叉口东南角,14500元/每平方米
亚星锦绣山河,—29~166平米,[三至四环]二七嵩山路南彩路交叉口向西50米路北,12000元/每平方米
盛澳金尊府,—119~202平米,[二至三环]管城航海路与腾飞路交汇处向南300米,18000元/每平方米
富田城·九鼎华府,—89~143平米,[三至四环]管城豫一路与祥和路交会处东南角,12000元/每平方米
郑州洺悦融园,—99~143平米,[二至三环]管城航海路豫英路交会处向南200米路西,18500元/每平方米
碧桂园·云顶,—140~244平米,[三至四环]高新西三环农业路 雕塑公园西北侧,17000元/每平方米
万科·拾谧森语,—199~247平米,[四至五环]郑东新区龙湖内环路与龙源西九街西南角,48000元/每平方米
保利·璞悦,—199~255平米,[三至四环]郑东新区龙湖内环西路三全路交汇处,42900元/每平方米
东原阅城,—81~129平米,[三至四环]高新西三环与三全路交汇处向南200米,12000元/每平方米
碧桂园时代城,—89~130平米,[四至五环]管城南四环与紫荆山路交会处南,9500元/每平方米
旭辉·一江雲著,—98~143平米,惠济滨河路与清华园路交叉口向东200米,16000元/每平方米
绿地花语城,—66~143平米,[四至五环]管城南四环与郑新快速路交汇处向南1000米路东,11000元/每平方米
碧桂园天玺湾,—76~143平米,金水杨金路与博学路东南角,15000元/每平方米
正商智慧城,—110~132平米,[四至五环]新郑绕城高速以北、十八里河以东、郑新快速路西,8000元/每平方米
佳田·未来新城,—63~143平米,[二至三环]管城未来路与石化路交叉口向西300米路南,14500元/每平方米
中海云著湖居,—149~220平米,[四至五环]郑东新区龙湖中环东路与南录庄街交汇处东南角,37000元/每平方米
电建地产·郑州泷悦华庭,—95~142平米,[三至四环]经开经开第十七大街与经南十五路交汇处,16500元/每平方米
碧桂园双湖城,—94~138平米,[五环以外]新郑双湖大道与龙湖大道(京广快速路)交会处东北角,6300元/每平方米
水投常绿壹号院,—127~142平米,[二至三环]金水金城大道与马林路交叉口,15500元/每平方米
绿城·诚园,—95~145平米,[二至三环]经开第八大街与经北四路交会处,19000元/每平方米
绿城·湖畔雲庐,—149~249平米,[三至四环]郑东新区龙湖中环路与南禄庄街交汇处东北角,40000元/每平方米
郑州鲲鹏小镇,—59~98平米,郑东新区象湖北·前程大道与科学大道交叉口,9800元/每平方米
汇泉西悦城,—83~115平米,[四至五环]中原陇海路与西四环交汇处(郑州市植物园向南500米路西),10000元/每平方米
永威城,—88~145平米,[三至四环]管城中州大道宇通路交汇处西南角(宇通大厦对面),9000元/每平方米
瀚海航城,—70~150平米,[五环以外]航空港区荆州路与思存路交会处,6800元/每平方米
海马公园,—105~128平米,[二至三环]郑东新区郑东新区普惠路与福禄街交会处,27000元/每平方米
啟福城,—64~169平米,[三至四环]中原长江路与西三环交汇处向西500米,20元/每平方米
信达未来公元,—75~127平米,管城紫荆山路与南水北调运河交会处,12500元/每平方米
蓝宝湖畔晓风,—92~172平米,[三至四环]郑东新区博学路与薛夏北街交汇处,19500元/每平方米
和昌优地,—113~143平米,[三至四环]金水索凌路与三全路交汇处向南200米,18500元/每平方米
华润置地凯旋门,—89~123平米,[二至三环]经开经开区中州大道与经北六路交汇处,18500元/每平方米
招商公园1872,—127~143平米,[四至五环]二七西四环萍湖路交汇处向南约1000米,10500元/每平方米
信达天樾九章,—109~168平米,[三至四环]金水花园路龙门路西800米,18000元/每平方米
汇泉景悦城,—78~112平米,[三至四环]中原西三环与颖河路交汇处,13500元/每平方米
东方宇亿万林府,—105~172平米,[三至四环]金水杨金路与东三环交汇处往西800米路南(建设中),17000元/每平方米
融创御湖宸院,—93~143平米,[二至三环]中原西三环长江路交会处西北,13000元/每平方米
碧桂园天麓,—38平米,[二至三环]金水花园路国基路东北角200米碧桂园天麓,6000元/每平方米
裕华城,—78~143平米,[三至四环]中原一期书香苑:学府路与爱民路交叉口西南角;二期书山苑:建设路与长椿路交叉口北200米路东,11800元/每平方米
保利天珺,—140平米,"经开经北二路南,经开第六大街东",19000元/每平方米
腾威城,—86~154平米,[一至二环]金水郑汴路与英协路交叉口向南300米,17000元/每平方米
润泓润园,—87~200平米,[五环以外]中牟广惠街与永盛西路交汇处向西100米,8000元/每平方米
中博城珑誉园,—43~140平米,[一至二环]管城未来路郑汴路交叉口西南角,15500元/每平方米
天伦城,—98~150平米,[三至四环]金水东三环与鸿宝路交会处向东3公里路北,14500元/每平方米
碧桂园中央公园,—102~240平米,[五环以外]中牟郑开大道与广惠街交汇处向东500米,17000元/每平方米
融信奥体世纪作品,—88~128平米,中原陇海西路西四环东南角,14000元/每平方米
万科理想拾光,—95~143平米,[三至四环]二七大学路与金沙江路交叉口向东约400米,12800元/每平方米
万科荣成兰乔圣菲,—290~535平米,[五环以外]中牟绿博大道与广惠街交会处200米路南,32000元/每平方米
和昌水岸花城,—95~136平米,[四至五环]惠济天河路与绿源路向西300米,10000元/每平方米
龙湖锦艺城,—79~124平米,[五环以外]新郑南龙湖郑新快速路与双湖大道交汇处东北角,7900元/每平方米
永威西郡,—26~142平米,[四至五环]中原西四环与博体路交会处向西500米,10000元/每平方米
郑州恒大未来之光,—87~129平米,[五环以外]航空港区鄱阳湖路与荆州路交会处,8500元/每平方米
宏光揽境,—105~138平米,[三至四环]郑东新区龙湖中环路与龙湖中环西路交叉口西北角,26000元/每平方米
和昌盛世城邦,—95~125平米,[五环以外]航空港区苑陵路与雍州路交汇处,7600元/每平方米
青风公园,—96~196平米,[三至四环]经开经开第十八大街与经南十二路交叉口西北,16500元/每平方米
朗曼新城,—95~142平米,巩义新区河洛路与石河路交叉口,4800元/每平方米
商都阜园,—65~144平米,[三至四环]管城中州大道与南三环交叉口东南角(西吴河公园旁),价格待定
绿城·百合新城,—122~196平米,[五环以外]中牟泰安街与学苑路交叉口向东200米路北,9200元/每平方米
万科·都会天际,—95~115平米,[四至五环]二七大学南路与南四环交汇处南200米东南,12000元/每平方米
新城郡望府,—89~125平米,[四至五环]荥阳郑上路与飞龙路交汇处东南侧,6200元/每平方米
正弘璟云筑,—105~143平米,[三至四环]金水金城大道与龙源路交会处向西500米,17500元/每平方米
美盛中环壹号,—77~127平米,金水国基路与文化路交汇处向西100米(郑州海洋馆对面),20000元/每平方米
升龙御玺,—79~131平米,[二至三环]中原陇海路与桐柏路交汇处向南300米路西,13000元/每平方米
亚星九邸,—162~317平米,二七祥泰路与南彩路交会处,价格待定
经开投发·梦湖畔,—124~223平米,经开宇兴路与义通街交会处向南100米,12000元/每平方米
清韵颐景苑,—56~232平米,[二至三环]金水郑汴路与玉凤路交叉口向北80米路东(维也纳酒店南侧),19000元/每平方米
正商河峪洲,—90~125平米,[四至五环]惠济北四环(大河路)与西四环交会处,9000元/每平方米
宏江溢彩年华,—86~114平米,[二至三环]中原建设路西三环交会处向东200米路南,10800元/每平方米
锦雍水之郡,—72~148平米,[三至四环]郑东新区龙子湖姚桥路德慧街交汇处,17000元/每平方米
郑州·洺悦天玺,—89~117平米,[四至五环]二七杏园路与豫一路交会处,8700元/每平方米
亚星江南小镇,—76~226平米,[五环以外]上街许昌路与淮阳路交汇处东100米,5500元/每平方米
康桥香麓湾,—142~235平米,[三至四环]金水东三环临河湾境,25000元/每平方米
郑州碧桂园,—88~155平米,[五环以外]荥阳贾峪镇洞林湖风景区,6000元/每平方米
金水世纪城,—100~141平米,[二至三环]中原西站路(金水西路)与秦岭路交汇处,13500元/每平方米
正商金域华府,—67~283平米,[二至三环]管城中州大道金岱路东500米路北,15000元/每平方米
万科长基云庐,—185~247平米,[五环以外]中牟雁鸣湖镇雁月大道与雁鸣大道交会处向西约2公里,14500元/每平方米
正弘新城,—98~219平米,[五环以外]新郑中兴路与万福路交汇处,7000元/每平方米
宜居·小乔书苑,—89~105平米,南龙湖郑新快速路与阳光大道交汇处西南角,7000元/每平方米
龙湖·春江天玺,—176~189平米,[五环以外]中牟文创园广惠街与国华路交叉口,6200元/每平方米
永威望湖郡,—87~227平米,[五环以外]航空港区华夏大道与望湖路交叉口东北角,11000元/每平方米
建业新筑,—140~247平米,郑东新区平安大道与文宗街交汇处西北角,16000元/每平方米
瀚宇天悦湾,—130~274平米,[五环以外]荥阳郑上新区郑上路与万山路交汇处向西300米,6100元/每平方米
远洋臻园,—89~119平米,[四至五环]二七大学南路与芦庄路交汇处向西600米,10500元/每平方米
康桥悦溪园,—89~173平米,[四至五环]中牟郑东绿博.人文路东枫外国语学校向南500米,8500元/每平方米
绿都·东澜岸,—89~140平米,[四至五环]经开龙美街与锦瑞路交叉口南100米,8500元/每平方米
中建·柒號院,—185~285平米,[二至三环]郑东新区龙腾二街如意河路西七街向东100米,545元/每平方米
华润置地新时代广场,—29~49平米,[三至四环]郑东新区商鼎路与博学路交汇处,12000元/每平方米
坤达江山筑,—89~147平米,[四至五环]新郑紫荆山南路和新老107连接线交汇处,7100元/每平方米
金科御府,—106~197平米,[五环以外]新郑中兴路与中华路交会处向北200米路西,6000元/每平方米
申泰·中原印象,—80~147平米,[一至二环]金水经三路与红专路交会处,23000元/每平方米
吉地澜花语,—104~138平米,[四至五环]郑东新区郑开大道与贺庄路交叉口向南300米路东,12000元/每平方米
中建·滨水苑,—94~152平米,[五环以外]航空港区桥航路与凌空街交汇处向北100米,12000元/每平方米
绿都·九州雅叙,—98~162平米,[五环以外]中牟九州路与广惠街西200米,6500元/每平方米
新城·玺樾兰庭,—99~143平米,[五环以外]巩义中原西路与青龙山路交会处东北角,7900元/每平方米
金科中原,—96~143平米,中原航海西路西三环旁,11000元/每平方米
永丰乐城,—69~237平米,[五环以外]新郑紫荆山南路与祥云路交叉口,8000元/每平方米
中海如园,—107~142平米,[三至四环]经开经南八路与华夏大道交汇处,14000元/每平方米
亚星金运外滩,—120~191平米,[三至四环]二七工人路与南三环西南角,13000元/每平方米
正商万熙天地,—56~95平米,金水农业路中州大道向西500米路北,15000元/每平方米
新蒲·朗晴别院,—87~226平米,中原航海路与工人路交汇处向西100米路北(地铁5号线后河芦站c口),16000元/每平方米
建业比华利庄园,—90~145平米,[五环以外]平原大道与郑新大道交汇处,6200元/每平方米
兴港永威南樾,—87~141平米,[五环以外]航空港区桥航路与凌空街交会处东南角,9500元/每平方米
永威上和郡,—133~392平米,[五环以外]中牟绿博创意园区人文路新城大道交汇处向东100米至锦荣路向南路东,15000元/每平方米
银榕居,—98~143平米,[四至五环]郑东新区白沙象湖核心区域绿博大道与恒通路交会处北100米,22000元/每平方米
升龙·栖樾府,—64~181平米,[一至二环]二七航海路与嵩山路交会处东北角,16000元/每平方米
建业河畔洋房,—143平米,[三至四环]金水中州大道与贾鲁河交汇处东北角,23000元/每平方米
